episode,steps,return
1017,32,-20.0
1018,28,-25.0
1019,18,-24.0
1020,85,-91.0
1021,33,-12.0
1022,19,-7.0
1023,66,-108.0
1024,16,-22.0
1025,19,2.0
1026,34,-22.0
1027,14,7.0
1028,36,-42.0
1029,20,-8.0
1030,21,-9.0
1031,19,2.0
1032,21,0.0
1033,54,-51.0
1034,25,-4.0
1035,25,-22.0
1036,15,6.0
1037,19,-7.0
1038,20,-8.0
1039,71,-95.0
1040,29,-17.0
1041,54,-60.0
1042,33,-21.0
1043,29,-35.0
1044,11,1.0
1045,8,13.0
1046,21,-9.0
1047,54,-78.0
1048,25,-4.0
1049,13,-1.0
1050,43,-76.0
1051,25,-13.0
1052,24,-12.0
1053,13,-1.0
1054,13,-1.0
1055,26,-14.0
1056,11,10.0
1057,15,-12.0
1058,10,11.0
1059,49,-46.0
1060,18,-6.0
1061,69,-102.0
1062,13,8.0
1063,26,-23.0
1064,19,2.0
1065,18,-6.0
1066,10,11.0
1067,12,0.0
1068,14,-2.0
1069,20,1.0
1070,46,-43.0
1071,74,-107.0
1072,21,-18.0
1073,41,-29.0
1074,70,-121.0
1075,11,1.0
1076,14,7.0
1077,16,5.0
1078,14,-11.0
1079,18,-6.0
1080,7,14.0
1081,12,9.0
1082,9,3.0
1083,22,-19.0
1084,19,-7.0
1085,22,-19.0
1086,23,-2.0
1087,21,-18.0
1088,18,3.0
1089,17,-5.0
1090,27,-6.0
1091,24,-21.0
1092,27,-33.0
1093,18,-15.0
1094,33,-39.0
1095,25,-40.0
1096,10,11.0
1097,22,-1.0
1098,26,-14.0
1099,27,-15.0
1100,10,-7.0
1101,13,-1.0
1102,19,2.0
1103,12,9.0
1104,79,-148.0
1105,27,-15.0
1106,14,-2.0
1107,11,10.0
1108,12,9.0
1109,15,-3.0
1110,11,1.0
1111,16,-4.0
1112,14,7.0
1113,14,-2.0
1114,12,9.0
1115,24,-12.0
1116,44,-77.0
1117,24,-21.0
1118,38,-26.0
1119,33,-21.0
