episode,steps,return
896,32,-11.0
897,80,-95.0
898,20,1.0
899,32,-20.0
900,9,3.0
901,65,-62.0
902,18,-6.0
903,29,-8.0
904,78,-102.0
905,9,12.0
906,15,6.0
907,41,-29.0
908,13,8.0
909,13,8.0
910,13,8.0
911,17,4.0
912,12,0.0
913,10,11.0
914,12,9.0
915,11,10.0
916,63,-51.0
917,31,-19.0
918,20,1.0
919,51,-57.0
920,24,-3.0
921,14,-2.0
922,12,9.0
923,71,-77.0
924,36,-24.0
925,27,-15.0
926,11,1.0
927,39,-27.0
928,78,-84.0
929,18,3.0
930,23,-11.0
931,13,8.0
932,76,-91.0
933,11,10.0
934,22,-10.0
935,45,-42.0
936,33,-12.0
937,14,-2.0
938,14,7.0
939,68,-83.0
940,9,12.0
941,30,-36.0
942,12,9.0
943,14,-2.0
944,21,-18.0
945,15,6.0
946,18,-6.0
947,15,6.0
948,11,10.0
949,10,11.0
950,9,12.0
951,47,-44.0
952,8,13.0
953,14,7.0
954,22,-19.0
955,53,-32.0
956,61,-85.0
957,26,-14.0
958,26,-5.0
959,24,-12.0
960,9,12.0
961,31,-46.0
962,18,-6.0
963,15,-3.0
964,34,-40.0
965,60,-39.0
966,19,2.0
967,34,-22.0
968,16,5.0
969,18,-6.0
970,48,-36.0
971,36,-24.0
972,39,-36.0
973,57,-54.0
974,11,10.0
975,61,-76.0
976,30,-18.0
977,11,10.0
978,14,7.0
979,104,-146.0
980,17,-5.0
981,31,-28.0
982,13,-1.0
983,52,-58.0
984,13,8.0
985,7,14.0
986,21,-9.0
987,53,-41.0
988,31,-19.0
989,18,3.0
990,42,-30.0
991,34,-13.0
992,10,11.0
993,72,-69.0
994,72,-78.0
995,65,-62.0
996,15,6.0
997,20,1.0
998,15,-21.0
999,12,9.0
1000,16,5.0
1001,13,-1.0
1002,112,-118.0
1003,92,-134.0
1004,74,-80.0
1005,30,-27.0
1006,25,-13.0
1007,33,-21.0
1008,9,12.0
1009,27,-15.0
1010,8,13.0
1011,23,-11.0
1012,74,-89.0
1013,36,-15.0
1014,10,11.0
1015,38,-35.0
1016,11,10.0
1017,25,-4.0
1018,34,-31.0
1019,17,-5.0
1020,28,-7.0
1021,27,-15.0
1022,9,12.0
1023,26,-5.0
1024,10,2.0
1025,13,-1.0
1026,20,1.0
1027,23,-2.0
1028,26,-5.0
1029,49,-28.0
1030,20,1.0
1031,30,-18.0
1032,34,-40.0
1033,86,-110.0
1034,35,-23.0
1035,16,-4.0
1036,18,-6.0
1037,16,5.0
1038,20,1.0
1039,80,-86.0
1040,35,-32.0
1041,54,-69.0
1042,29,-26.0
1043,15,6.0
1044,10,11.0
1045,9,12.0
1046,15,6.0
1047,47,-35.0
1048,29,-26.0
1049,10,11.0
1050,16,5.0
1051,27,-33.0
1052,22,-1.0
1053,9,12.0
1054,10,11.0
1055,36,-33.0
1056,11,1.0
1057,14,7.0
1058,13,-10.0
1059,22,-1.0
1060,15,6.0
1061,43,-67.0
1062,14,-2.0
1063,22,-10.0
1064,15,6.0
1065,14,7.0
1066,10,11.0
1067,13,-10.0
1068,7,14.0
1069,11,10.0
1070,29,-26.0
1071,35,-14.0
1072,25,-13.0
1073,53,-77.0
1074,44,-32.0
1075,7,14.0
1076,12,9.0
1077,14,-11.0
1078,12,-9.0
1079,17,4.0
1080,7,14.0
1081,13,-1.0
1082,8,13.0
1083,22,-19.0
1084,28,-34.0
1085,16,5.0
1086,18,3.0
1087,28,-7.0
1088,13,-1.0
1089,12,9.0
1090,19,-16.0
1091,25,-4.0
1092,17,-5.0
1093,17,-5.0
1094,16,-4.0
1095,27,-6.0
1096,10,11.0
1097,20,1.0
1098,25,-31.0
1099,43,-85.0
1100,7,14.0
1101,16,5.0
1102,14,7.0
1103,19,2.0
1104,46,-25.0
1105,19,-7.0
1106,10,11.0
1107,12,0.0
1108,12,9.0
1109,11,10.0
1110,12,9.0
1111,10,11.0
1112,15,-3.0
1113,15,6.0
1114,12,9.0
1115,16,5.0
1116,26,-14.0
1117,19,-25.0
1118,41,-29.0
1119,37,-16.0
1120,14,7.0
1121,18,-6.0
1122,11,10.0
1123,18,-6.0
1124,39,-36.0
1125,11,10.0
1126,17,4.0
1127,11,10.0
1128,9,12.0
1129,9,12.0
1130,12,0.0
1131,11,10.0
1132,23,-11.0
1133,15,6.0
1134,8,13.0
1135,22,-1.0
1136,14,-2.0
1137,12,9.0
1138,10,2.0
1139,12,0.0
1140,41,-20.0
1141,70,-67.0
1142,36,-42.0
1143,14,7.0
1144,14,7.0
1145,11,1.0
1146,14,7.0
1147,10,11.0
1148,23,-2.0
1149,12,9.0
1150,15,6.0
1151,12,9.0
1152,15,-3.0
1153,12,0.0
1154,13,-1.0
1155,35,-41.0
1156,22,-10.0
1157,13,-1.0
1158,10,11.0
1159,16,5.0
1160,11,10.0
1161,18,-6.0
1162,10,2.0
1163,7,14.0
1164,12,9.0
1165,25,-13.0
1166,42,-39.0
1167,30,-9.0
1168,18,3.0
1169,8,13.0
1170,12,9.0
1171,16,5.0
1172,41,-29.0
1173,9,-6.0
1174,17,-5.0
1175,19,-7.0
1176,12,9.0
1177,17,4.0
1178,14,7.0
1179,21,-9.0
1180,15,6.0
1181,16,-4.0
1182,9,3.0
1183,19,-16.0
1184,18,-6.0
1185,17,-23.0
1186,7,5.0
1187,46,-25.0
1188,18,-6.0
1189,56,-62.0
1190,12,9.0
1191,14,-2.0
1192,16,-4.0
1193,11,10.0
1194,62,-68.0
1195,43,-31.0
1196,15,-3.0
1197,9,3.0
1198,25,-13.0
1199,13,8.0
1200,22,-1.0
1201,13,-1.0
1202,12,9.0
1203,10,2.0
1204,8,13.0
1205,19,2.0
1206,12,9.0
1207,15,6.0
1208,35,-23.0
1209,20,-8.0
1210,13,8.0
1211,33,-12.0
1212,20,1.0
1213,11,10.0
1214,71,-59.0
1215,10,11.0
1216,37,-16.0
1217,23,-20.0
1218,16,5.0
1219,13,8.0
1220,12,-9.0
1221,7,14.0
1222,13,8.0
1223,32,-20.0
1224,14,7.0
1225,13,8.0
1226,12,9.0
1227,21,-9.0
1228,20,1.0
1229,23,-2.0
1230,10,11.0
1231,13,8.0
1232,13,-1.0
1233,50,-29.0
1234,17,-14.0
1235,28,-25.0
1236,55,-43.0
1237,12,9.0
1238,17,-5.0
1239,38,-17.0
1240,13,8.0
1241,15,-3.0
1242,25,-22.0
1243,12,9.0
1244,58,-55.0
1245,16,-4.0
1246,14,7.0
1247,16,-13.0
1248,20,1.0
1249,14,7.0
1250,25,-13.0
1251,12,0.0
1252,9,3.0
1253,14,7.0
1254,53,-77.0
1255,8,13.0
1256,11,1.0
1257,11,10.0
1258,39,-27.0
1259,49,-64.0
1260,13,8.0
1261,14,7.0
1262,12,0.0
1263,13,8.0
1264,16,5.0
1265,16,5.0
1266,21,-9.0
1267,16,5.0
1268,13,8.0
1269,11,1.0
1270,62,-50.0
1271,14,7.0
1272,21,-9.0
1273,15,6.0
1274,15,-3.0
1275,19,-7.0
1276,15,-12.0
1277,19,-7.0
1278,16,-22.0
1279,17,4.0
1280,9,12.0
1281,14,7.0
1282,17,4.0
1283,11,10.0
1284,35,-23.0
1285,37,-61.0
1286,13,-1.0
1287,12,0.0
1288,31,-10.0
1289,18,3.0
1290,16,-13.0
1291,10,11.0
1292,7,14.0
1293,21,0.0
1294,8,13.0
1295,13,8.0
1296,16,5.0
1297,13,-1.0
1298,10,11.0
1299,33,-12.0
1300,9,3.0
1301,29,-35.0
1302,11,10.0
1303,10,11.0
1304,10,2.0
1305,15,6.0
1306,10,2.0
1307,24,-12.0
1308,58,-55.0
1309,17,4.0
1310,15,6.0
1311,13,8.0
1312,19,2.0
1313,11,10.0
1314,35,-14.0
1315,16,5.0
1316,20,-8.0
1317,23,-11.0
1318,38,-44.0
1319,13,8.0
1320,26,-5.0
1321,13,-1.0
1322,22,-19.0
1323,15,6.0
1324,18,-6.0
1325,20,-8.0
1326,11,10.0
1327,13,-1.0
1328,10,11.0
1329,26,-5.0
1330,17,-14.0
1331,44,-32.0
1332,24,-3.0
1333,12,0.0
1334,10,11.0
1335,20,-17.0
1336,17,4.0
1337,19,-16.0
1338,36,-33.0
1339,9,12.0
1340,41,-29.0
1341,12,0.0
1342,15,6.0
1343,12,9.0
1344,23,-2.0
1345,10,11.0
1346,16,5.0
1347,9,12.0
1348,31,-10.0
1349,13,8.0
1350,10,11.0
1351,16,5.0
1352,42,-30.0
1353,13,8.0
1354,12,9.0
1355,20,-8.0
1356,17,4.0
1357,19,2.0
1358,16,-4.0
1359,21,0.0
1360,14,7.0
1361,12,0.0
1362,12,9.0
1363,20,1.0
1364,9,12.0
1365,15,-12.0
1366,11,10.0
1367,10,2.0
1368,11,10.0
1369,9,12.0
1370,19,2.0
1371,10,11.0
1372,11,10.0
1373,10,11.0
1374,32,-11.0
1375,14,7.0
1376,12,9.0
1377,11,10.0
1378,8,13.0
1379,31,-10.0
1380,26,-5.0
1381,19,2.0
1382,12,9.0
1383,18,3.0
1384,28,-16.0
1385,13,8.0
1386,11,1.0
1387,16,-4.0
1388,21,-18.0
1389,17,4.0
1390,20,1.0
1391,11,10.0
1392,20,-26.0
1393,11,10.0
1394,16,5.0
1395,16,-13.0
1396,58,-37.0
1397,16,5.0
1398,51,-57.0
1399,23,-2.0
1400,18,-15.0
1401,12,9.0
1402,15,6.0
1403,33,-21.0
1404,20,1.0
1405,13,-1.0
1406,14,7.0
1407,24,-3.0
1408,7,14.0
1409,29,-17.0
1410,13,8.0
1411,17,4.0
1412,32,-38.0
1413,13,8.0
1414,8,13.0
1415,22,-1.0
1416,11,10.0
1417,16,-4.0
1418,11,1.0
1419,16,5.0
1420,24,-3.0
1421,11,10.0
1422,8,13.0
1423,32,-20.0
1424,17,-5.0
1425,21,0.0
1426,16,5.0
1427,29,-35.0
1428,23,-11.0
1429,10,11.0
1430,41,-56.0
1431,24,-12.0
1432,11,10.0
1433,21,0.0
1434,23,-20.0
1435,14,7.0
1436,14,-2.0
1437,13,8.0
1438,21,0.0
1439,24,-3.0
1440,25,-4.0
1441,13,8.0
1442,12,9.0
1443,11,1.0
1444,13,-1.0
1445,12,9.0
1446,12,9.0
1447,11,10.0
1448,11,10.0
1449,13,8.0
1450,22,-1.0
1451,13,8.0
1452,10,11.0
1453,15,-3.0
1454,6,15.0
1455,16,-4.0
1456,14,7.0
1457,16,5.0
1458,11,10.0
1459,16,5.0
1460,38,-26.0
1461,16,5.0
1462,19,2.0
1463,15,6.0
1464,8,13.0
1465,16,5.0
1466,13,-1.0
1467,13,-1.0
1468,39,-27.0
1469,19,-7.0
1470,17,-5.0
1471,14,-2.0
1472,18,3.0
1473,14,7.0
1474,32,-11.0
1475,10,2.0
1476,10,11.0
1477,26,-14.0
1478,12,9.0
1479,6,15.0
1480,12,9.0
1481,21,-9.0
1482,17,4.0
1483,11,10.0
1484,14,7.0
1485,18,-15.0
1486,34,-22.0
1487,11,10.0
1488,13,-1.0
1489,16,5.0
1490,33,-30.0
1491,12,9.0
1492,12,9.0
1493,22,-1.0
1494,11,10.0
1495,12,9.0
1496,20,-8.0
1497,13,8.0
1498,9,12.0
1499,14,-2.0
1500,28,-16.0
1501,9,12.0
1502,8,13.0
1503,23,-2.0
1504,17,-5.0
1505,16,5.0
1506,11,10.0
1507,12,9.0
1508,46,-34.0
1509,13,8.0
1510,9,12.0
1511,27,-15.0
1512,16,-4.0
1513,16,5.0
1514,16,5.0
1515,16,5.0
1516,13,8.0
1517,52,-49.0
1518,20,1.0
1519,16,-13.0
1520,10,11.0
1521,19,2.0
1522,13,-1.0
1523,15,6.0
1524,14,7.0
1525,28,-7.0
1526,25,-4.0
1527,14,7.0
1528,14,-2.0
1529,19,2.0
1530,9,12.0
1531,31,-10.0
1532,19,-7.0
1533,10,11.0
1534,17,4.0
1535,14,-2.0
1536,24,-3.0
1537,15,6.0
1538,11,10.0
1539,8,4.0
1540,11,10.0
1541,11,1.0
